ID,Rerollable,Epic,Chain,Art,Art ID,Name,Description,Difficulty,Column,StartProgress,EndProgress,RQ Hero,RQ Card,RQ Min Lv,RQ Max Lv,XP Amount,Chars,Ready
HerosJourney,FALSE,Hero_test,1,,102,Hero's Journey ,Play a game with Ada,hard,right,,1,,,1,1,500,35,TRUE
HerosJourneyII,FALSE,Hero_test,2,,1101,Hero's Journey II,Play a game with Samya,hard,right,,1,,,1,1,500,39,TRUE
HerosJourneyIII,FALSE,Hero_test,3,,3101,Hero's Journey III,Play a game with Bouran,hard,right,,1,,,1,1,500,41,TRUE
HerosJourneyIV,FALSE,Hero_test,4,,4101,Hero's Journey IV,Play a game with Ari,hard,right,,1,,,1,1,500,37,TRUE
HerosJourneyV,FALSE,Hero_test,5,,2101,Hero's Journey V,Play a game with Lotus,hard,right,,1,,,1,1,500,38,TRUE
WelcomeOpenSky,FALSE,starter2_test,1,,10,Welcome OpenSky!,Play your first game,med,mid,1,1,,,0,0,300,38,TRUE
AnEnemyApproaches,FALSE,starter2_test,2,,2030,An Enemy Approaches,Destroy 10 enemy Units,med,mid,,10,,,0,1,200,41,TRUE
AFriendAppears,FALSE,starter2_test,3,,106,A Friend Appears,Boost the stats of 10 Units,med,mid,,10,,,0,1,200,43,TRUE
AnArmyisBuilt,FALSE,starter2_test,4,,128,An Army is Built,Summon 10 Treefolk Sapplings,med,mid,,10,,,0,1,200,44,TRUE
TheBattleisWon,FALSE,starter2_test,5,,114,The Battle is Won,Do 30 damage to enemies,med,mid,,30,,,0,1,200,40,TRUE
OntheRoadAgain,FALSE,starter1_test,1,,4060,On the Road Again ,Play a game,easy,left,,1,,,1,1,100,29,TRUE
OntheRoadAgainII,FALSE,starter1_test,2,,130,On the Road Again II,Attack with 2 Units on one turn,easy,left,,1,,,1,1,100,51,TRUE
OntheRoadAgainIII,FALSE,starter1_test,3,,18,On the Road Again III,Play a Unit with 5 or more health,easy,left,,1,,,1,1,100,54,TRUE
Strengthweaver,TRUE,,,,102,Strengthweaver,Win 2 games with a Strength Hero,med,mid,,2,,,2,,200,46,TRUE
Agilityweaver,TRUE,,,,1101,Agilityweaver,Win 2 games with an Agility Hero,med,mid,,2,,,2,,200,45,TRUE
