ID,Rerollable,Epic,Chain,Art,Art ID,Name,Description,Difficulty,Column,StartProgress,EndProgress,RQ Hero,RQ Card,RQ Min Lv,RQ Max Lv,XP Amount,Chars,Ready
DailyDelivery,FALSE,dd_test,1,,2107,Daily Delivery,Complete 5 daily quests,hard,right,,5,,,,,800,37,FALSE
DailyDeliveryII,FALSE,dd_test,2,,2107,Daily Delivery II,Complete 10 daily quests,hard,mid,,10,,,,,800,41,FALSE
DailyDeliveryIII,FALSE,dd_test,3,,2107,Daily Delivery III,Complete 15 daily quests,hard,mid,,15,,,,,800,42,FALSE
DailyDeliveryIIII,FALSE,dd_test,4,,2107,Daily Delivery IIII,Complete 20 daily quests,hard,right,,20,,,,,800,43,FALSE
Viral,TRUE,,,,1112,Viral,Invite a Friend to Play OpenSky,hard,right,,1,,,,,1600,38,FALSE
FriendlyContest,TRUE,,,,102,Friendly Contest,Challenge a friend to a Private game,med,mid,,2,,,,,600,52,FALSE
Navigator,TRUE,nav_test,1,,4025,Navigator,Play a game with a custom deck,easy,left,,1,,,,,400,39,FALSE
NavigatorII,TRUE,nav_test,2,,4025,Navigator II,Win a game with a custom dual Hero deck,easy,left,,1,,,,,400,51,FALSE
EarthBattlerPLUS,TRUE,,,,86,Earth Battler +,Play 30 Earth cards,easy,left,,30,,,6,,400,34,TRUE
MetalBattlerPLUS,TRUE,,,,60,Metal Battler +,Play 30 Metal cards,easy,left,,30,,,6,,400,34,TRUE
AirBattlerPLUS,TRUE,,,,1072,Air Battler +,Play 30 Air cards,easy,left,,30,,,6,,400,30,TRUE
FireBattlerPLUS,TRUE, ,,,1081,Fire Battler +,Play 30 Fire cards,easy,left,,30,,,6,,400,32,TRUE
DarkBattlerPLUS,TRUE,,,,3061,Dark Battler +,Play 30 Dark cards,easy,left,,30,,,6,,400,32,TRUE
LightBattlerPLUS,TRUE,,,,3035,Light Battler +,Play 30 Light cards,easy,left,,30,,,6,,400,34,TRUE
WaterBattlerPLUS,TRUE,,,,4031,Water Battler +,Play 30 Water cards,easy,left,,30,,,6,,400,34,TRUE
MindBattlerPLUS,TRUE,,,,2087,Mind Battler +,Play 30 Mind cards,easy,left,,30,,,6,,400,32,TRUE
Megashroom,TRUE,,,,3107,Megashroom,Trigger Mechshroom's death effect 10+ times in one game,hard,right,,1,,3107,6,,800,65,TRUE
RainbowRestriction,TRUE,,,,2104,Rainbow Restriction ,Win a game with a deck that has at least 3 cards of each Element,med,mid,,1,,,6,,600,84,TRUE
Unitless,TRUE,,,,4037,Unitless,Win a game using a deck that contains no Unit cards ,hard,right,,1,,,6,,800,60,TRUE
AllTogether,TRUE,,,,4010,All Together,Have a card from each Prism in your grave at the same time,hard,right,,1,,,6,,800,70,TRUE
Spelless,TRUE,,,,22,Spelless,Win a game using a deck that contains no Spells or Attached Spells,hard,right,,1,,,6,,800,74,TRUE
Empowered,TRUE,,,,102,Empowered,Use Ada's Hero Ability 150 times,easy,left,,150,,,6,,400,41,TRUE
SpeedofLight,TRUE,,,,1101,Speed of Light,Use Samya's Hero Ability 75 times ,easy,left,,75,,,6,,400,48,TRUE
Ritualistic,TRUE,,,,3101,Ritualistic,Use Bouran's Hero Ability 75 times ,easy,left,,75,,,6,,400,46,TRUE
MatterReshaper,TRUE,,,,4101,Matter Reshaper,Use Ari's Hero Ability 75 times ,easy,left,,75,,,6,,400,47,TRUE
Om,TRUE,,,,2101,Om,Use Lotus' Hero Ability 50 times ,easy,left,,50,,,6,,400,35,TRUE
KaZam,TRUE,,,,4018,Ka-Zam!,Do 20+ damage with Zam in one turn,med,mid,,1,,4018,900,,600,41,TRUE
SpeedDemon,TRUE,,,,1045,Speed Demon,Win a Ranked game before the end of your 8th turn,hard,right,,1,,,6,,800,60,TRUE
PatientStudent,TRUE,,,,2128,Patient Student,Win a Ranked game after your 10th turn,hard,right,,1,,,6,,800,53,TRUE
ThreesCompany,TRUE,,,,3063,Three's Company,Win a game where you only play 3 cost cards,med,mid,,1,,,6,,600,58,TRUE
Pacifist,TRUE,,,,2077,Pacifist ,Win a game while not attacking with your Hero on at least five different turns,hard,right,,1,Lotus,,50,,800,87,TRUE
BigHitter,TRUE,,,,6,Big Hitter,Do 15+ damage to the enemy Hero with a single attack,easy,left,,1,,,6,,400,62,TRUE
Champion,TRUE,,,,1044,Champion,Win 10 Games,med,mid,,10,,,6,,600,20,TRUE
